번호,소재지전체주소,사업장명,Latitude,Longitude
1,광주광역시 광산구 하남동 831번지,홈플러스(주) 광주하남점,35.178023,126.805132
2,광주광역시 동구 계림1동 100번지 11호,(주)이마트 동광주점,35.163809,126.920292
3,광주광역시 동구 계림1동 505번지 900호,홈플러스(주)계림점,35.161866,126.916963
4,광주광역시 남구 봉선동 1064호,이마트 봉선점,35.122338,126.916511
5,광주광역시 서구 화정동 12번지 13호 광주 이마트,이마트 광주점,35.158732,126.882122
6,광주광역시 광산구 우산동 1598번지 3호,주식회사 이마트 광산점,35.159968,126.80862
7,광주광역시 북구 두암2동 575번지 1호,홈플러스(주) 동광주점,35.179255,126.930973
8,광주광역시 서구 치평동 1208번지 5호,신세계이마트상무점,35.158751,126.882121
9,광주광역시 서구 치평동 1239호,롯데쇼핑(주)롯데마트맥스 상무점,35.152303,126.852458
10,광주광역시 동구 계림동 100번지 11호,(주)신세계이마트동광주점,35.163661,126.92038
